English Name,Scientific Name,SoIB 2023 Priority Status,SoIB 2023 Long-term Trend Status,SoIB 2023 Current Annual Trend Status,SoIB 2023 Distribution Range Size Status,eBird English Name 2022,eBird Scientific Name 2022,BLI English Name 2022,BLI Scientific Name 2022,Order,Family,Breeding Activity Period,Non-breeding Activity Period,Diet Guild,Endemicity,Endemic to India,Endemic to Subcontinent,Endemic to Himalaya,Habitat Specialization,Migratory Status within India,Restricted to Islands,IUCN Category,WPA Schedule,CITES Appendix,CMS Appendix,1% Population Threshold,Selected for SoIB,Selected for Long-term Trend,Selected for Current Annual Trend,Long-term Trend LCI,Long-term Trend Mean,Long-term Trend UCI,Current Annual Trend LCI,Current Annual Trend Mean,Current Annual Trend UCI,Distribution Range Size LCI,Distribution Range Size Mean,Distribution Range Size UCI,Number of Grids,Range Coverage (Pre-2000),Range Coverage (Current),Range Coverage (2022),Grid Coverage Mean,Grid Coverage CI,Projected % Decline in 3 Generations,Regional Red List Category,SoIB 2020 Concern Status,SoIB 2020 Long-term Trend Status,SoIB 2020 Current Annual Trend Status,SoIB 2020 Distribution Range Size Status
Fulvous Whistling Duck,Dendrocygna bicolor,Low,Insufficient Data,Trend Inconclusive,Moderate,Fulvous Whistling-Duck,Dendrocygna bicolor,Fulvous Whistling-duck,Dendrocygna bicolor,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",24 hour,24 hour,Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Resident,FALSE,Least Concern,Schedule-I,,Appendix II,500,TRUE,FALSE,TRUE,,,,-5.8,-2.8,0.1,124930,125500,126070,169,4,32,52,13,1,,,Low,Data Deficient,Uncertain,Moderate
Lesser Whistling Duck,Dendrocygna javanica,Low,Stable,Stable,Very Large,Lesser Whistling-Duck,Dendrocygna javanica,Lesser Whistling-duck,Dendrocygna javanica,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",24 hour,24 hour,Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Resident,FALSE,Least Concern,Schedule-II,,Appendix II,10000,TRUE,TRUE,TRUE,-6.6,11.5,33.3,-1.5,0.4,2.3,1744730,1745260,1745790,2389,5,38,58,10,0,,,Low,Stable,Moderate Decline,Very Large
Bar-headed Goose,Anser indicus,Moderate,Trend Inconclusive,Decline,Large,Bar-headed Goose,Anser indicus,Bar-headed Goose,Anser indicus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",24 hour,24 hour,Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant & Localized Summer Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,,TRUE,TRUE,TRUE,-42.4,-33,-21.8,-4.2,-2.8,-1.5,574230,574700,575170,885,8,31,41,12,0,,,Low,Uncertain,Uncertain,Large
Greylag Goose,Anser anser,Low,Trend Inconclusive,Trend Inconclusive,Large,Graylag Goose,Anser anser,Greylag Goose,Anser anser,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",24 hour,24 hour,Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,250,TRUE,TRUE,TRUE,-60.8,-33.1,19.4,-6,1.8,9.5,358010,358510,359010,493,10,30,44,11,1,,,Low,Uncertain,Uncertain,Moderate
Greater White-fronted Goose,Anser albifrons,,,,,Greater White-fronted Goose,Anser albifrons,Greater White-fronted Goose,Anser albifrons,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",24 hour,24 hour,Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,,FALSE,FALSE,FALSE,,,,,,,,,,23,,20,35,14,3,,,,,,
Lesser White-fronted Goose,Anser erythropus,,,,,Lesser White-fronted Goose,Anser erythropus,Lesser White-fronted Goose,Anser erythropus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Diurnal,Diurnal,Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Vulnerable,Schedule-II,,Appendix I,,FALSE,FALSE,FALSE,,,,,,,,,,11,,9,,13,5,,,,,,
Bean Goose,Anser fabalis,,,,,Taiga Bean-Goose,Anser fabalis,Bean Goose,Anser fabalis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",24 hour,24 hour,Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,,FALSE,FALSE,FALSE,,,,,,,,,,1,,,,9,,,,,,,
Bean Goose,Anser fabalis,,,,,Tundra Bean-Goose,Anser serrirostris,Not at species rank,Anser fabalis serrirostris,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",24 hour,24 hour,Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,,FALSE,FALSE,FALSE,,,,,,,,,,2,,,,16,3,,,,,,
Red-breasted Goose,Branta ruficollis,,,,,Red-breasted Goose,Branta ruficollis,Red-breasted Goose,Branta ruficollis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",No information,No information,Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Vulnerable,Schedule-II,Appendix II,Appendix I,,FALSE,FALSE,FALSE,,,,,,,,,,4,,50,75,15,6,,,,,,
Mute Swan,Cygnus olor,,,,,Mute Swan,Cygnus olor,Mute Swan,Cygnus olor,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",24 hour,24 hour,Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
